city,ja,population,place,dist_km,segment,km_along,seg_from,seg_to,lat,lon
Moriyama,守山市,81666,city,9.3,tsuruga--otsu#direct,79.0,tsuruga,otsu,35.0589,135.9943
Owariasahi,尾張旭市,81589,city,13.5,toyohashi--nagoya#pacific,71.6,toyohashi,nagoya,35.2165,137.0352
Ōmihachiman,近江八幡市,81312,city,15.6,tsuruga--otsu,83.9,tsuruga,otsu,35.1284,136.0979
Toyooka,豊岡市,80595,city,4.2,miyazu--tottori#sanin,51.9,miyazu,tottori,35.5447,134.8201
Nagaokakyo,長岡京市,80424,city,4.2,otsu--osaka,20.7,otsu,osaka,34.9265,135.6954
Gamagori,蒲郡市,80318,city,6.6,toyohashi--nagoya#pacific,19.2,toyohashi,nagoya,34.8339,137.2252
Natori,名取市,79761,city,0.5,sendai--soma#pacific,11.6,sendai,soma,38.1715,140.8917
Fukuchiyama,福知山市,78003,city,21.0,obama--miyazu#sanin,58.3,obama,miyazu,35.2967,135.1266
Kashiba,香芝市,77815,city,20.2,wakayama--osaka#pacific,63.1,wakayama,osaka,34.5415,135.6988
Tsubame,燕市,77201,city,5.5,niigata--kashiwazaki,40.4,niigata,kashiwazaki,37.6731,138.8825
Ryugasaki,龍ケ崎市,76420,city,13.9,tsukuba--tokyo#pacific,14.5,tsukuba,tokyo,35.9113,140.1819
Katano,交野市,76389,city,4.7,otsu--osaka,31.9,otsu,osaka,34.788,135.68
Miki,三木市,76302,city,13.6,kobe--himeji,13.1,kobe,himeji,34.7969,134.9902
Komae,狛江市,76234,city,12.8,tokyo--kamakura#pacific,10.2,tokyo,kamakura,35.6348,139.5787
Tatsuno,たつの市,76230,city,4.3,himeji--okayama,16.1,himeji,okayama,34.8578,134.5453
Joyo,城陽市,75736,city,6.9,otsu--osaka,19.0,otsu,osaka,34.853,135.7799
Kasama,笠間市,75698,city,7.2,mito--tsukuba#pacific,15.6,mito,tsukuba,36.3452,140.3042
Izumiotsu,泉大津市,75200,city,0.2,wakayama--osaka#pacific,48.2,wakayama,osaka,34.5043,135.4104
Kiyose,清瀬市,75072,city,23.8,tokyo--kamakura#pacific,0.8,tokyo,kamakura,35.7855,139.5313
Kizugawa,木津川市,74969,city,18.2,otsu--osaka,31.9,otsu,osaka,34.7371,135.8202
Yurihonjo,由利本荘市,74707,city,0.4,akita--nikaho,44.6,akita,nikaho,39.3859,140.0487
Kai,甲斐市,74705,city,1.8,matsumoto--kofu#highland,97.6,matsumoto,kofu,35.6608,138.5164
Ishioka,石岡市,74184,city,1.0,mito--tsukuba#pacific,32.6,mito,tsukuba,36.1908,140.2884
Inuyama,犬山市,73992,city,23.2,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.361,136.9845
Shiki,志木市,72676,city,23.7,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.8374,139.5796
Kyotanabe,京田辺市,72493,city,9.7,otsu--osaka,27.2,otsu,osaka,34.8144,135.7677
Warabi,蕨市,72260,city,16.9,tsukuba--tokyo#pacific,65.3,tsukuba,tokyo,35.8264,139.6791
Hekinan,碧南市,72076,city,17.6,toyohashi--nagoya#pacific,45.8,toyohashi,nagoya,34.865,136.9845
Yoshikawa,吉川市,71979,city,5.1,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,35.8963,139.8545
Yawata,八幡市,71775,city,1.6,otsu--osaka,22.0,otsu,osaka,34.8755,135.7075
Yukuhashi,行橋市,71426,city,0.6,moji--nakatsu,30.1,moji,nakatsu,33.7292,130.9832
Chiryu,知立市,71159,city,1.7,toyohashi--nagoya#pacific,46.8,toyohashi,nagoya,35.0015,137.0516
Uwajima,宇和島市,70809,city,0.5,uwajima--sukumo#shikoku-south,0.3,uwajima,sukumo,33.2232,132.5607
Minami-Alps,南アルプス市,70116,city,8.7,matsumoto--kofu#highland,97.4,matsumoto,kofu,35.6085,138.4651
Tanabe,田辺市,69870,city,0.3,shirahama--wakayama#pacific,9.7,shirahama,wakayama,33.7279,135.3778
Kashiwara,柏原市,69799,city,12.9,wakayama--osaka#pacific,63.1,wakayama,osaka,34.5784,135.6292
Toyoake,豊明市,69127,city,0.7,toyohashi--nagoya#pacific,54.1,toyohashi,nagoya,35.0537,137.0129
Kiyosu,清須市,69079,city,4.3,nagoya--ise#pacific,0.1,nagoya,ise,35.2002,136.8531
Yamatotakada,大和高田市,68927,city,24.5,wakayama--osaka#pacific,63.1,wakayama,osaka,34.5151,135.7365
Kaga,加賀市,68864,city,1.5,kanazawa--tojinbo,48.0,kanazawa,tojinbo,36.3028,136.3151
Fuefuki,笛吹市,68641,city,3.8,kofu--fujinomiya#highland,7.8,kofu,fujinomiya,35.6473,138.6397
Moriya,守谷市,68421,city,4.3,tsukuba--tokyo#pacific,21.6,tsukuba,tokyo,35.951,139.9755
Sabae,鯖江市,67710,city,0.2,fukui--tsuruga,12.0,fukui,tsuruga,35.9565,136.1844
Hashima,羽島市,67153,city,18.5,nagoya--ise#pacific,16.3,nagoya,ise,35.3195,136.7027
Ina,伊那市,67077,city,24.6,matsumoto--kofu#highland,38.4,matsumoto,kofu,35.8305,137.9549
Ito,伊東市,66988,city,15.9,odawara--numazu#pacific,30.7,odawara,numazu,34.9657,139.1017
Shiojiri,塩尻市,66979,city,1.9,matsumoto--kofu#highland,11.4,matsumoto,kofu,36.125,137.9528
Soja,総社市,66855,city,0.9,okayama--fukuyama,17.5,okayama,fukuyama,34.6728,133.7467
Saiki,佐伯市,66851,city,0.1,saiki--nobeoka#shikoku-south,1.9,saiki,nobeoka,32.9602,131.8997
Ritto,栗東市,66749,city,11.8,tsuruga--otsu,93.5,tsuruga,otsu,35.0216,135.9981
Tsuruga,敦賀市,66665,city,0.0,tsuruga--obama#sanin,0.1,tsuruga,obama,35.6445,136.0735
Kinokawa,紀の川市,66662,city,14.1,wakayama--osaka#pacific,25.9,wakayama,osaka,34.2697,135.3637
Fujiidera,藤井寺市,64692,city,10.4,wakayama--osaka#pacific,63.1,wakayama,osaka,34.5744,135.5975
Minamiuonuma,南魚沼市,62733,city,0.4,nagaoka--yuzawa#highland,59.7,nagaoka,yuzawa,37.0656,138.8761
Miyoshi,みよし市,62613,city,9.0,toyohashi--nagoya#pacific,50.9,toyohashi,nagoya,35.0993,137.0995
Tsushima,津島市,62525,city,1.4,nagoya--ise#pacific,12.2,nagoya,ise,35.1668,136.7582
Shiroi,白井市,62374,city,11.7,tsukuba--tokyo#pacific,31.6,tsukuba,tokyo,35.7915,140.0561
Tendo,天童市,62140,city,5.0,yamagata--tsuruoka#crossover,16.9,yamagata,tsuruoka,38.3624,140.3773
Aisai,愛西市,62113,city,0.0,nagoya--ise#pacific,15.6,nagoya,ise,35.1531,136.728
Tagajo,多賀城市,61819,city,10.4,kesennuma--sendai#pacific,125.4,kesennuma,sendai,38.2938,141.0043
Sennan,泉南市,61566,city,1.3,wakayama--osaka#pacific,28.0,wakayama,osaka,34.3657,135.274
Tahara,田原市,61292,city,14.3,hamamatsu--toyohashi#pacific,39.0,hamamatsu,toyohashi,34.669,137.2637
Joso,常総市,60834,city,5.6,tsukuba--tokyo#pacific,11.3,tsukuba,tokyo,36.0236,139.9939
Tamano,玉野市,60736,city,19.2,okayama--fukuyama,2.3,okayama,fukuyama,34.4919,133.946
Towada,十和田市,60378,city,6.9,aomori--hachinohe#pacific,64.5,aomori,hachinohe,40.6127,141.206
